Chargeback Raise Date,Case Number,Acquirer Reference Data - RRN,Primary Account Number,Transaction Date,Transaction Amount,Chargeback Reason code,Chargeback Reason code description,Chargeback Amount,Target Date,PGI REF NO#
27-Dec-23,NPCI334930020,309620100020,652850-XXX-XXX-2690,27-Dec-23,7362,1067,1067-Goods or Services Not Provided / Not Received,5207,27-Dec-23,XUR310830000
28-Dec-23,NPCI334930021,309620100021,652850-XXX-XXX-9650,28-Dec-23,6167,1071,1071-Goods or Services Not Provided / Not Received,5324,28-Dec-23,XUR310830001
29-Dec-23,NPCI334930022,309620100022,652850-XXX-XXX-7169,29-Dec-23,8656,1065,1065-Goods or Services Not Provided / Not Received,5218,29-Dec-23,XUR310830002
30-Dec-23,NPCI334930023,309620100023,652850-XXX-XXX-2483,30-Dec-23,9753,1066,1066-Goods or Services Not Provided / Not Received,5744,30-Dec-23,XUR310830003
31-Dec-23,NPCI334930024,309620100024,652850-XXX-XXX-3286,31-Dec-23,7399,1065,1065-Goods or Services Not Provided / Not Received,5776,31-Dec-23,XUR310830004
01-Jan-24,NPCI334930025,309620100025,652850-XXX-XXX-5715,01-Jan-24,9872,1066,1066-Goods or Services Not Provided / Not Received,5500,01-Jan-24,XUR310830005
02-Jan-24,NPCI334930026,309620100026,652850-XXX-XXX-3369,02-Jan-24,5937,1076,1076-Goods or Services Not Provided / Not Received,5081,02-Jan-24,XUR310830006
03-Jan-24,NPCI334930027,309620100027,652850-XXX-XXX-1945,03-Jan-24,7449,1071,1071-Goods or Services Not Provided / Not Received,5274,03-Jan-24,XUR310830007
04-Jan-24,NPCI334930028,309620100028,652850-XXX-XXX-7633,04-Jan-24,9211,1069,1069-Goods or Services Not Provided / Not Received,5005,04-Jan-24,XUR310830008
05-Jan-24,NPCI334930029,309620100029,652850-XXX-XXX-7392,05-Jan-24,5160,1066,1066-Goods or Services Not Provided / Not Received,5462,05-Jan-24,XUR310830009
06-Jan-24,NPCI3349300210,3096201000210,652850-XXX-XXX-3848,06-Jan-24,9526,1071,1071-Goods or Services Not Provided / Not Received,5381,06-Jan-24,XUR3108300010
07-Jan-24,NPCI3349300211,3096201000211,652850-XXX-XXX-7953,07-Jan-24,6218,1075,1075-Goods or Services Not Provided / Not Received,4991,07-Jan-24,XUR3108300011
08-Jan-24,NPCI3349300212,3096201000212,652850-XXX-XXX-4809,08-Jan-24,6779,1070,1070-Goods or Services Not Provided / Not Received,5576,08-Jan-24,XUR3108300012
09-Jan-24,NPCI3349300213,3096201000213,652850-XXX-XXX-8442,09-Jan-24,9730,1075,1075-Goods or Services Not Provided / Not Received,5721,09-Jan-24,XUR3108300013
10-Jan-24,NPCI3349300214,3096201000214,652850-XXX-XXX-3588,10-Jan-24,8318,1073,1073-Goods or Services Not Provided / Not Received,5589,10-Jan-24,XUR3108300014
11-Jan-24,NPCI3349300215,3096201000215,652850-XXX-XXX-7930,11-Jan-24,6357,1067,1067-Goods or Services Not Provided / Not Received,5546,11-Jan-24,XUR3108300015
12-Jan-24,NPCI3349300216,3096201000216,652850-XXX-XXX-1241,12-Jan-24,6861,1069,1069-Goods or Services Not Provided / Not Received,5169,12-Jan-24,XUR3108300016
13-Jan-24,NPCI3349300217,3096201000217,652850-XXX-XXX-4178,13-Jan-24,5533,1071,1071-Goods or Services Not Provided / Not Received,5486,13-Jan-24,XUR3108300017
14-Jan-24,NPCI3349300218,3096201000218,652850-XXX-XXX-3944,14-Jan-24,7164,1068,1068-Goods or Services Not Provided / Not Received,5291,14-Jan-24,XUR3108300018
15-Jan-24,NPCI3349300219,3096201000219,652850-XXX-XXX-4357,15-Jan-24,8728,1068,1068-Goods or Services Not Provided / Not Received,5020,15-Jan-24,XUR3108300019
16-Jan-24,NPCI3349300220,3096201000220,652850-XXX-XXX-0039,16-Jan-24,6060,1070,1070-Goods or Services Not Provided / Not Received,5210,16-Jan-24,XUR3108300020
17-Jan-24,NPCI3349300221,3096201000221,652850-XXX-XXX-0024,17-Jan-24,9541,1065,1065-Goods or Services Not Provided / Not Received,5433,17-Jan-24,XUR3108300021
18-Jan-24,NPCI3349300222,3096201000222,652850-XXX-XXX-8699,18-Jan-24,6958,1071,1071-Goods or Services Not Provided / Not Received,5119,18-Jan-24,XUR3108300022
19-Jan-24,NPCI3349300223,3096201000223,652850-XXX-XXX-8546,19-Jan-24,5798,1072,1072-Goods or Services Not Provided / Not Received,5358,19-Jan-24,XUR3108300023
20-Jan-24,NPCI3349300224,3096201000224,652850-XXX-XXX-0077,20-Jan-24,5394,1070,1070-Goods or Services Not Provided / Not Received,5369,20-Jan-24,XUR3108300024
21-Jan-24,NPCI3349300225,3096201000225,652850-XXX-XXX-8140,21-Jan-24,9458,1066,1066-Goods or Services Not Provided / Not Received,5675,21-Jan-24,XUR3108300025
22-Jan-24,NPCI3349300226,3096201000226,652850-XXX-XXX-1958,22-Jan-24,5247,1067,1067-Goods or Services Not Provided / Not Received,5066,22-Jan-24,XUR3108300026
23-Jan-24,NPCI3349300227,3096201000227,652850-XXX-XXX-2306,23-Jan-24,5938,1071,1071-Goods or Services Not Provided / Not Received,5452,23-Jan-24,XUR3108300027
24-Jan-24,NPCI3349300228,3096201000228,652850-XXX-XXX-4626,24-Jan-24,7758,1065,1065-Goods or Services Not Provided / Not Received,5504,24-Jan-24,XUR3108300028
25-Jan-24,NPCI3349300229,3096201000229,652850-XXX-XXX-8992,25-Jan-24,5679,1074,1074-Goods or Services Not Provided / Not Received,5328,25-Jan-24,XUR3108300029
26-Jan-24,NPCI3349300230,3096201000230,652850-XXX-XXX-6801,26-Jan-24,6470,1069,1069-Goods or Services Not Provided / Not Received,5379,26-Jan-24,XUR3108300030
27-Jan-24,NPCI3349300231,3096201000231,652850-XXX-XXX-0902,27-Jan-24,7743,1071,1071-Goods or Services Not Provided / Not Received,5606,27-Jan-24,XUR3108300031
28-Jan-24,NPCI3349300232,3096201000232,652850-XXX-XXX-1649,28-Jan-24,5109,1065,1065-Goods or Services Not Provided / Not Received,5635,28-Jan-24,XUR3108300032
29-Jan-24,NPCI3349300233,3096201000233,652850-XXX-XXX-9860,29-Jan-24,5854,1071,1071-Goods or Services Not Provided / Not Received,4986,29-Jan-24,XUR3108300033
30-Jan-24,NPCI3349300234,3096201000234,652850-XXX-XXX-9285,30-Jan-24,5790,1073,1073-Goods or Services Not Provided / Not Received,5296,30-Jan-24,XUR3108300034
31-Jan-24,NPCI3349300235,3096201000235,652850-XXX-XXX-6781,31-Jan-24,7289,1069,1069-Goods or Services Not Provided / Not Received,5146,31-Jan-24,XUR3108300035
01-Feb-24,NPCI3349300236,3096201000236,652850-XXX-XXX-9024,01-Feb-24,8326,1068,1068-Goods or Services Not Provided / Not Received,4984,01-Feb-24,XUR3108300036
02-Feb-24,NPCI3349300237,3096201000237,652850-XXX-XXX-7368,02-Feb-24,8166,1076,1076-Goods or Services Not Provided / Not Received,5127,02-Feb-24,XUR3108300037
03-Feb-24,NPCI3349300238,3096201000238,652850-XXX-XXX-5034,03-Feb-24,6318,1076,1076-Goods or Services Not Provided / Not Received,5248,03-Feb-24,XUR3108300038
04-Feb-24,NPCI3349300239,3096201000239,652850-XXX-XXX-7034,04-Feb-24,7243,1066,1066-Goods or Services Not Provided / Not Received,5655,04-Feb-24,XUR3108300039
05-Feb-24,NPCI3349300240,3096201000240,652850-XXX-XXX-0393,05-Feb-24,7914,1073,1073-Goods or Services Not Provided / Not Received,5409,05-Feb-24,XUR3108300040
06-Feb-24,NPCI3349300241,3096201000241,652850-XXX-XXX-2444,06-Feb-24,7676,1074,1074-Goods or Services Not Provided / Not Received,5274,06-Feb-24,XUR3108300041
07-Feb-24,NPCI3349300242,3096201000242,652850-XXX-XXX-8345,07-Feb-24,9956,1065,1065-Goods or Services Not Provided / Not Received,5598,07-Feb-24,XUR3108300042
08-Feb-24,NPCI3349300243,3096201000243,652850-XXX-XXX-8011,08-Feb-24,5944,1074,1074-Goods or Services Not Provided / Not Received,5739,08-Feb-24,XUR3108300043
09-Feb-24,NPCI3349300244,3096201000244,652850-XXX-XXX-0500,09-Feb-24,9017,1075,1075-Goods or Services Not Provided / Not Received,5680,09-Feb-24,XUR3108300044
10-Feb-24,NPCI3349300245,3096201000245,652850-XXX-XXX-4594,10-Feb-24,9210,1073,1073-Goods or Services Not Provided / Not Received,5062,10-Feb-24,XUR3108300045
11-Feb-24,NPCI3349300246,3096201000246,652850-XXX-XXX-7466,11-Feb-24,6483,1067,1067-Goods or Services Not Provided / Not Received,5636,11-Feb-24,XUR3108300046
12-Feb-24,NPCI3349300247,3096201000247,652850-XXX-XXX-0961,12-Feb-24,7446,1074,1074-Goods or Services Not Provided / Not Received,5684,12-Feb-24,XUR3108300047
13-Feb-24,NPCI3349300248,3096201000248,652850-XXX-XXX-5642,13-Feb-24,9600,1067,1067-Goods or Services Not Provided / Not Received,5453,13-Feb-24,XUR3108300048
14-Feb-24,NPCI3349300249,3096201000249,652850-XXX-XXX-6793,14-Feb-24,6802,1075,1075-Goods or Services Not Provided / Not Received,5724,14-Feb-24,XUR3108300049
15-Feb-24,NPCI3349300250,3096201000250,652850-XXX-XXX-5094,15-Feb-24,5188,1076,1076-Goods or Services Not Provided / Not Received,5536,15-Feb-24,XUR3108300050
16-Feb-24,NPCI3349300251,3096201000251,652850-XXX-XXX-9213,16-Feb-24,8591,1066,1066-Goods or Services Not Provided / Not Received,5570,16-Feb-24,XUR3108300051
17-Feb-24,NPCI3349300252,3096201000252,652850-XXX-XXX-4403,17-Feb-24,7280,1073,1073-Goods or Services Not Provided / Not Received,5509,17-Feb-24,XUR3108300052
18-Feb-24,NPCI3349300253,3096201000253,652850-XXX-XXX-9587,18-Feb-24,5645,1067,1067-Goods or Services Not Provided / Not Received,5227,18-Feb-24,XUR3108300053
